Carter County,,,,These are OFFICIAL Numbers,,,,,,,,,
"August 2, 2022 Primary Election",,,,TOTAL OF ALL PARTY BALLOTS,,,,,,,,,
,,,,,,,,,,,,,
,,Eastwood,Ellsinore,Fremont,Grandin,Van Buren,VB1,VB2,VBM,Absentee,Intrastate,Provision,TOTAL VOTES
U. S. Senator,,,,,,,,,,,,,
R ,Patrick A Lewis,2,2,0,0,2,0,2,,2,0,,8
R ,Eric Schmitt,21,174,23,54,179,46,133,,26,0,,477
R ,Billy Long,0,3,1,1,3,1,2,,1,0,,9
R ,Eric Greitens,21,111,12,23,129,27,102,,22,0,,318
R ,Bernie Mowinski,0,1,0,0,0,0,0,,0,0,,1
R ,C.W. Gardner,0,1,0,0,0,0,0,,0,0,,1
R ,Deshon Porter,2,0,0,0,0,0,0,,0,0,,2
R ,Vicky Hartzler,5,26,6,8,49,14,35,,6,0,,100
R ,Dave Sims,0,4,0,0,0,0,0,,0,0,,4
R ,Mark McCloskey,0,9,2,1,8,5,3,,0,0,,20
R ,Eric McElroy,0,1,0,0,1,0,1,,0,0,,2
R ,Dennis Lee Chilton,1,4,1,0,3,0,3,,1,0,,10
R ,Robert Allen,0,1,0,1,2,1,1,,0,0,,4
R ,Dave Schatz,0,2,0,0,0,0,0,,0,0,,2
R ,Hartford Tunnell,0,3,0,0,0,0,0,,0,0,,3
R ,Kevin C. Schepers,0,0,0,0,0,0,0,,0,0,,0
R ,Rickey Joiner,0,2,0,0,4,2,2,,1,0,,7
R ,Robert Olson,0,0,0,1,0,0,0,,0,0,,1
R ,Russel Pealer Breyfogle Jr,0,1,0,0,0,0,0,,0,0,,1
R ,Darrell Leon McClanahan III,1,2,0,0,1,0,1,,0,0,,4
R ,Curtis D. Vaughn,0,3,1,1,3,1,2,,0,0,,8
D,Lewis Rolen,0,1,0,2,1,0,1,,0,0,,4
D,Gena Ross,0,1,2,0,0,0,0,,0,0,,3
D,Carla Coffee Wright,0,1,1,0,5,3,2,,0,0,,7
D,Josh Shipp,0,0,0,0,0,0,0,,2,0,,2
D,Spencer Toder,0,0,0,0,1,1,0,,0,0,,1
D,Lucas Kunce,0,10,6,0,20,4,16,,1,0,,37
D,Jewel Kelly,0,0,0,1,0,0,0,,0,0,,1
D,Clarence (Clay) Taylor,0,1,0,0,1,1,0,,0,0,,2
D,Pat Kelly,0,0,1,1,2,1,1,,0,0,,4
D,Trudy Busch Valentine,0,0,1,1,3,0,3,,0,0,,5
D,Ronald (Ron) William Harris,0,0,0,1,0,0,0,,0,0,,1
L,Jonathan Dine,0,0,0,0,0,0,0,,0,0,,0
C,Paul Venable,0,0,0,0,0,0,0,,0,0,,0
State Auditor,,,,,,,,,,,,,
R,David Gregory,17,108,11,38,126,35,91,,17,0,,317
R,Scott Fitzpatrick,29,178,27,41,204,50,154,,37,0,,516
D,Alan Green,0,13,10,6,24,7,17,,2,0,,55
L,John A. Hartwig Jr.,0,0,0,0,0,0,0,,0,0,,0
US Representative 8th District,,,,,,,,,,,,,
R,Jason Smith,38,309,41,76,344,82,262,,52,0,,860
R ,Jacob Turner,13,35,5,13,39,15,24,,6,0,,111
D,Randi McCallian,0,14,10,7,25,9,16,,2,0,,58
L,Jim Higgins,0,0,0,0,0,0,0,,0,0,,0
State Representative 153rd Dist.,,,,,,,,,,,,,
R,Darrell Atchison,37,301,38,83,313,82,231,,50,0,,822
Associate Circuit Judge,,,,,,,,,,,,,
R,Steven F. Lynxwiler,36,294,44,84,315,80,235,,54,0,,827
Presiding Commissioner,,,,,,,,,,,,,
R,Ron Keeney,40,108,36,44,279,68,211,,38,0,,545
R,Joe L. Crites,17,252,10,44,130,36,94,,25,0,,478
Clerk of the Circuit Court,,,,,,,,,,,,,
R,Mary M. Godsy,50,303,40,78,327,80,247,,54,0,,852
R,Joanna Giles,7,48,6,11,72,21,51,,9,0,,153
Clerk of the County Commission,,,,,,,,,,,,,
R,Mikki Stinchcomb,13,125,13,33,102,21,81,,17,0,,303
R,Debi Reynolds,40,229,30,56,273,72,201,,43,0,,671
Recorder of Deeds,,,,,,,,,,,,,
D,Pauline Peterman,0,14,11,6,33,10,23,,3,0,,67
Prosecuting Attorney,,,,,,,,,,,,,
D,Hannah Pender,0,14,11,6,30,10,20,,3,0,,64
Collector of Revenue,,,,,,,,,,,,,
D,Lisa Rodgers,0,14,11,7,33,10,23,,3,0,,68
Treasurer,,,,,,,,,,,,,
R,Velvet Ricker,46,289,40,78,354,90,264,,56,0,,863
Number of Ballots Cast,,58,378,57,97,446,115,331,,67,0,0,1103
Number of Registered Voters,,150,1719,215,601,1760,,,,,,,4445
Turnout Percentage,,39%,22%,27%,16%,25%,,,,,,,"24,81%"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Certified Election Results,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,"Leona Stephens, County Clerk and Local Election Authority",,,,,,,,,,,,